B6,I,ENERGY,ENERGY conforms,"ENERGY must be an integer between 0-1, or =9 (Did not answer)","Q13. ENERGY (Full of energy?) must be an integer between 0-1, or =9 (Did not answer)",If ENERGY <0 or (ENERGY > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,HOPELESS,HOPELESS must be present,HOPELESS cannot be blank,Q14. HOPELESS (Situation is hopeless?) cannot be blank,If HOPELESS = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,HOPELESS,HOPELESS conforms,"HOPELESS must be an integer between 0-1, or =9 (Did not answer)","Q14. HOPELESS (Situation is hopeless?) must be an integer between 0-1, or =9 (Did not answer)",If HOPELESS <0 or (HOPELESS > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,BETTER,BETTER must be present,BETTER cannot be blank,Q15. BETTER (Most others are better off?) cannot be blank,If BETTER = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,BETTER,BETTER conforms,"BETTER must be an integer between 0-1, or =9 (Did not answer)","Q15. BETTER (Most others are better off?) must be an integer between 0-1, or =9 (Did not answer)",If BETTER <0 or (BETTER > 1 and ne 9),n/a,n/a,Error,Yes,Conformity,Yes,
B6,I,GDS,GDS must be present,GDS cannot be blank,Q16. GDS (Total GDS Score) cannot be blank,If GDS = blank,n/a,n/a,Error,Yes,Missingness,Yes,
B6,I,GDS,GDS conforms,"GDS must be an integer between 0-15, or =88 (Did not complete)","Q16. GDS (Total GDS Score) must be an integer between 0-15, or =88 (Did not complete)",If GDS <0 or (NACCGDS > 15 and ne 88),n/a,n/a,Error,Yes,Conformity,Yes,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plausibility checks,,,,,,,,,,,,,
Form ,Packet,Variable,Error/alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables_concepts previous versions of UDS?,Question(s) for domain experts
B6,I,GDS,GDS total score cannot be valid if GDS was not attempted,IF NOGDS=1 then GDS must =88,IF QG1. NOGDS (Check if GDS not attempted) =1 then Q16. GDS (Total GDS score) must =88,IF NOGDS=1 and GDS ne 88,B6,"GDS, NOGDS",Error,,Plausibility,Yes,
B6,I,GDS,GDS total score cannot be valid if GDS was not attempted,IF NOGDS=1 then there cannot be >=12 questions with valid scores (0 or 1),IF NOGDS=1 then there cannot be >=12 questions with valid scores,"IF NOGDS=1 and >=3 of the following variables are ne 9 (SATIS, DROPACT, EMPTY, BORED, SPIRITS, AFRAID, HAPPY, HELPLESS, STAYHOME, MEMPROB, WONDRFUL, WRTHLESS, ENERGY, HOPELESS, BETTER)",B6,"NOGDS, SATIS, DROPACT, EMPTY, BORED, SPIRITS, AFRAID, HAPPY, HELPLESS, STAYHOME, MEMPROB, WONDRFUL, WRTHLESS, ENERGY, HOPELESS, BETTER",Error,,Plausibility,Yes,
B6,I,GDS,GDS total score is equal to sum of all valid questions for fully completed GDS,"IF (SATIS in (0,1) and DROPACT in (0,1) and EMPTY in (0,1) and BORED in (0,1) and SPIRITS in (0,1) and AFRAID in (0,1) and HAPPY in (0,1) and HELPLESS in (0,1) and STAYHOME in (0,1) and MEMPROB in (0,1) and WONDRFUL in (0,1) and WRTHLESS in (0,1) and ENERGY in (0,1) and HOPELESS in (0,1) and BETTER in (0,1))

then GDS must equal 

SUM(SATIS, DROPACT, EMPTY, BORED, SPIRITS, AFRAID, HAPPY, HELPLESS, STAYHOME, MEMPROB, WONDRFUL, WRTHLESS, ENERGY, HOPELESS, BETTER)","IF (Q1. SATIS in (0,1) and Q2. DROPACT in (0,1) and Q3. EMPTY in (0,1) and Q4. BORED in (0,1) and Q5. SPIRITS in (0,1) and Q6. AFRAID in (0,1) and Q7. HAPPY in (0,1) and Q8. HELPLESS in (0,1) and Q9. STAYHOME in (0,1) and Q10. MEMPROB in (0,1) and Q11. WONDRFUL in (0,1) and Q12. WRTHLESS in (0,1) and Q13. ENERGY in (0,1) and Q14. HOPELESS in (0,1) and Q15. BETTER in (0,1)) 

then Q16. GDS must equal 

SUM(Q1. SATIS, Q2. DROPACT, Q3. EMPTY, Q4. BORED, Q5. SPIRITS, Q6. AFRAID, Q7. HAPPY, Q8. HELPLESS, Q9. STAYHOME, Q10. MEMPROB, Q11. WONDRFUL, Q12. WRTHLESS, Q13. ENERGY, Q14. HOPELESS, Q15. BETTER)","IF (SATIS in (0,1) and DROPACT in (0,1) and EMPTY in (0,1) and BORED in (0,1) and SPIRITS in (0,1) and AFRAID in (0,1) and HAPPY in (0,1) and HELPLESS in (0,1) and STAYHOME in (0,1) and MEMPROB in (0,1) and WONDRFUL in (0,1) and WRTHLESS in (0,1) and ENERGY in (0,1) and HOPELESS in (0,1) and BETTER in (0,1))

and GDS ?

SUM(SATIS, DROPACT, EMPTY, BORED, SPIRITS, AFRAID, HAPPY, HELPLESS, STAYHOME, MEMPROB, WONDRFUL, WRTHLESS, ENERGY, HOPELESS, BETTER)",B6,"GDS, SATIS, DROPACT, EMPTY, BORED, SPIRITS, AFRAID, HAPPY, HELPLESS, STAYHOME, MEMPROB, WONDRFUL, WRTHLESS, ENERGY, HOPELESS, BETTER",Error,,Plausibility,Yes,
B6,I,GDS,GDS total score is equal to algorithm for partially completed GDS,"IF up to 3 of the 15 items are =9 (unanswered), then GDS is equal to the scoring algorithm: 

PRORATING SCORES (what to do if the subject does not answer up to three items): If up to three of the 15 items are unanswered (i.e., responses are 9=Did not answer), add the total score on the completed items plus an estimated score for the unanswered items to get a total score. The estimated score for unanswered items is calculated as:

 (Total score of completed items / # of completed items) * (# of unanswered items) 

You may get a fractional answer that requires rounding. For example, if the subject got a score of 5 for 12 completed items, then the estimated total score is 5 + [(5/12) * 3] = 6.25. Since the decimal portion of this value is","IF up to 3 of the 15 items are =9 (unanswered), then Q16. GDS is equal to the scoring algorithm: 

PRORATING SCORES (what to do if the subject does not answer up to three items): If up to three of the 15 items are unanswered (i.e., responses are 9=Did not answer), add the total score on the completed items plus an estimated score for the unanswered items to get a total score. The estimated score for unanswered items is calculated as:

 (Total score of completed items / # of completed items) * (# of unanswered items) 

You may get a fractional answer that requires rounding. For example, if the subject got a score of 5 for 12 completed items, then the estimated total score is 5 + [(5/12) * 3] = 6.25. Since the decimal portion of this value is",will let tech team write this logic as need,B6,"GDS, SATIS, DROPACT, EMPTY, BORED, SPIRITS, AFRAID, HAPPY, HELPLESS, STAYHOME, MEMPROB, WONDRFUL, WRTHLESS, ENERGY, HOPELESS, BETTER",Error,,Plausibility,Yes,
