error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions
ds_header-dsivp-m-001,001,Error,ds_header,IDS,PTID,Missingness,PTID must be present,PTID cannot be blank,Header variable PTID cannot be blank,IF PTID=blank,,,Yes,Yes
ds_header-dsivp-m-002,002,Error,ds_header,IDS,ADCID,Missingness,ADCID must be present,ADCID cannot be blank,Header variable ADCID cannot be blank,IF ADCID=blank ,,,Yes,Yes
ds_header-dsivp-c-003,003,Error,ds_header,IDS,ADCID,Conformity,ADCID conforms,ADCID must be a valid code in list_of_adcids,Header variable ADCID must be a valid code in list_of_adcids,IF ADCID is not in list_of_adcids,,,Yes,Yes
ds_header-dsivp-m-004,004,Error,ds_header,IDS,VISITNUM,Missingness,VISITNUM must be present,VISITNUM cannot be blank,Header variable VISITNUM cannot be blank,IF VISITNUM=blank,,,Yes,Yes
ds_header-dsivp-m-005,005,Error,ds_header,IDS,PACKET,Missingness,PACKET must be present,PACKET cannot be blank,Header variable PACKET cannot be blank,IF PACKET=blank ,,,Yes,Yes
ds_header-dsivp-c-006,006,Error,ds_header,IDS,PACKET,Conformity,PACKET conforms,"PACKET must be in (""IDS"")","Header variable PACKET must be in (""IDS"")","IF PACKET is not in (""IDS"")",,,Yes,Yes
ds_header-dsivp-m-007,007,Error,ds_header,IDS,FORMVER,Missingness,FORMVER must be present,FORMVER cannot be blank,Header variable FORMVER cannot be blank,IF FORMVER=blank,,,Yes,Yes
ds_header-dsivp-c-008,008,Error,ds_header,IDS,FORMVER,Conformity,FORMVER conforms,FORMVER must equal 1,Header variable FORMVER must equal 1,IF FORMVER ne 1,,,Yes,Yes
ds_header-dsivp-m-009,009,Error,ds_header,IDS,VISITDATE,Missingness,VISITDATE must be present,VISITDATE cannot be blank,Header variable VISITDATE cannot be blank,IF VISITDATE=blank,,,No,No
ds_header-dsivp-c-010,010,Error,ds_header,IDS,VISITDATE,Conformity,VISITDATE conforms,VISITDATE must be in mm/dd/yyyy or yyyy/mm/dd format,Header variable VISITDATE must be in mm/dd/yyyy or yyyy/mm/dd format,IF VISITDATE not in (mm/dd/yyyy or yyyy/mm/dd),,,Yes,Yes
