form_name,packet,question,var_name,missingness,conformity,response_labels,data_type,branching_logic,notes
COVID_header,FCV,0A. Packet code,PACKET,Always,FCV,"FCV, Follow-up",String,,
COVID_header,FCV,0C. Form version number,FORMVER,Always,2,"2, 2",Numeric,,
COVID_header,FCV,0D. Center ID,ADCID,Always,List of current ADCIDs,List of current ADCIDs,Integer,,Use your Center ID. Valid codes are available here: https://naccdata.org/center-ids
COVID_header,FCV,0E. ADC subject ID,PTID,Always,String with max length of 10 characters,,String,,"Follow your Center's Patient ID scheme; use same ID as in UDS, if subject is enrolled in UDS."
COVID_header,FCV,0F. Form date,VISITDATE,Always,mm/dd/yyyy or yyyy/mm/dd,,Date,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
