Form ,Version,Gate_question_variable,Variable,TT_code
A1,4 IVP,,RACEAIAN,If RACEAIAN is blank then RACEAIAN should = 0
A1,4 IVP,,RACEAIANX,If RACEAIANX is blank then RACEAIANX should remain blank
A1,4 IVP,,RACEASIAN,If RACEASIAN is blank then RACEASIAN should = 0
A1,4 IVP,,ETHCHINESE,If ETHCHINESE is blank then ETHCHINESE should = 0
A1,4 IVP,,ETHINDIA,If ETHINDIA is blank then ETHINDIA should = 0
A1,4 IVP,,ETHFILIP,If ETHFILIP is blank then ETHFILIP should = 0
A1,4 IVP,,ETHVIETNAM,If ETHVIETNAM is blank then ETHVIETNAM should = 0
A1,4 IVP,,ETHKOREAN,If ETHKOREAN is blank then ETHKOREAN should = 0
A1,4 IVP,,ETHJAPAN,If ETHJAPAN is blank then ETHJAPAN should = 0
A1,4 IVP,,ETHASNOTH,If ETHASNOTH is blank then ETHASNOTH should = 0
A1,4 IVP,,ETHASNOTHX,If ETHASNOTHX is blank then ETHASNOTHX should remain blank
A1,4 IVP,,RACEBLACK,If RACEBLACK is blank then RACEBLACK should = 0
A1,4 IVP,,ETHAFAMER,If ETHAFAMER is blank then ETHAFAMER should = 0
A1,4 IVP,,ETHJAMAICA,If ETHJAMAICA is blank then ETHJAMAICA should = 0
A1,4 IVP,,ETHHAITIAN,If ETHHAITIAN is blank then ETHHAITIAN should = 0
A1,4 IVP,,ETHNIGERIA,If ETHNIGERIA is blank then ETHNIGERIA should = 0
A1,4 IVP,,ETHETHIOP,If ETHETHIOP is blank then ETHETHIOP should = 0
A1,4 IVP,,ETHSOMALI,If ETHSOMALI is blank then ETHSOMALI should = 0
A1,4 IVP,,ETHBLKOTH,If ETHBLKOTH is blank then ETHBLKOTH should = 0
A1,4 IVP,,ETHBLKOTHX,If ETHBLKOTHX is blank then ETHBLKOTHX should remain blank
A1,4 IVP,,ETHMEXICAN,If ETHMEXICAN is blank then ETHMEXICAN should = 0
A1,4 IVP,,ETHPUERTO,If ETHPUERTO is blank then ETHPUERTO should = 0
A1,4 IVP,,ETHSALVA,If ETHSALVA is blank then ETHSALVA should = 0
A1,4 IVP,,ETHCUBAN,If ETHCUBAN is blank then ETHCUBAN should = 0
A1,4 IVP,,ETHDOMIN,If ETHDOMIN is blank then ETHDOMIN should = 0
