error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b1-ivp-p-1001,1001,Error,b1,I,WAIST1,Plausibility,WAIST1 compared to WAIST2,WAIST1 cannot differ by more than 1 inch from WAIST2,If WAIST1 != 888 and WAIST2 != 888 then WAIST1 (Participant waist measurement) cannot differ by more than 1 inch from WAIST2 (Participant waist measurement),If WAIST1 != 888 and WAIST2 != 888 and |WAIST1 - WAIST2| > 1 ,,"WAIST1, WAIST2",,,
b1-ivp-p-1002,1002,Error,b1,I,HIP1,Plausibility,HIP1 compared to HIP2,HIP1 cannot differ by more than 1 inch from HIP2,If HIP1 != 888 and HIP2 != 888 then HIP1 (Participant hip measurement) cannot differ by more than 1 inch from HIP2 (Participant hip measurement),If HIP1 != 888 and HIP2 != 888 and |HIP1- HIP2| > 1 ,,"HIP1, HIP2",,,
