error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
F3-FCV-m-035,35,Error,F3,FCV,C19KFAC_F,Missingness,C19KFAC_F must be present,C19KFAC_F cannot be blank,"Q8e. C19KFAC_F (Since [last f3_form_date], what kind of care assistance, if any, has become harder to access: Ability to find skilled residential facility placement) cannot be blank",If C19KFAC_F = blank,,,,,
F3-FCV-c-036,36,Error,F3,FCV,C19KAPP_F,Conformity,C19KAPP_F conforms,"C19KAPP_F must be an integer 0, 1, or 8","Q8f. C19KAPP_F (Since [last f3_form_date], what kind of care assistance, if any, has become harder to access: Medical care including physician appointments) must be an integer between 0-1 or 8",IF C19KAPP_F < 0 or (C19KAPP_F > 1 and C19KAPP_F ne 8),,"DECCLCOG, COGJUDG",,,
F3-FCV-m-037,37,Error,F3,FCV,C19KAPP_F,Missingness,C19KAPP_F must be present,C19KAPP_F cannot be blank,"Q8f. C19KAPP_F (Since [last f3_form_date], what kind of care assistance, if any, has become harder to access: Medical care including physician appointments) cannot be blank",If C19KAPP_F = blank,,"DECCLCOG, COGJUDG",,,
F3-FCV-c-038,38,Error,F3,FCV,C19KOTH_F,Conformity,C19KOTH_F conforms,"C19KOTH_F must be an integer 0, 1, or 8","Q8g. C19KOTH_F (Since [last f3_form_date], what kind of care assistance, if any, has become harder to access: Other) must be an integer between 0-1 or 8",IF C19KOTH_F < 0 or (C19KOTH_F > 1 and C19KOTH_F ne 8),,,,,
F3-FCV-m-039,39,Error,F3,FCV,C19KOTH_F,Missingness,C19KOTH_F must be present,C19KOTH_F cannot be blank,"Q8g. C19KOTH_F (Since [last f3_form_date], what kind of care assistance, if any, has become harder to access: Other) cannot be blank",If C19KOTH_F = blank,,"DECCLCOG, COGLANG",,,
F3-FCV-m-040,40,Error,F3,FCV,C19KOTHX_F,Missingness,C19KOTHX_F conditionally present,"If C19KOTH_F = 1, then C19KOTHX_F cannot be blank","If Q8g. C19KOTH_F = 1, then Q8g1. C19KOTHX_F (Other specify) cannot be blank",If C19KOTH_F = 1 and C19KOTHX_F = blank,,"DECCLCOG, COGLANG",,,
F3-FCV-m-041,41,Error,F3,FCV,C19KOTHX_F,Missingness,C19KOTHX_F conditionally blank,"If C19KOTH_F = 0 or 8, then C19KOTHX_F must be blank","If Q8g. C19KOTH_F = 0 or 8, then Q8g1. C19KOTHX_F (Other specify) must be blank","If C19KOTH_F in (0, 8) and C19KOTHX_F ne blank",,,,,
F3-FCV-c-042,42,Error,F3,FCV,C19CORE_F,Conformity,C19CORE_F conforms,C19CORE_F must be an integer between 1-5 or 8,Q8g1. C19CORE_F (Other specify) must be an integer between 1-5 or 8,IF C19CORE_F < 1 or (C19CORE_F > 5 and C19CORE_F ne 8),,"DECCLCOG, COGVIS",,,
F3-FCV-m-043,43,Error,F3,FCV,C19CORE_F,Missingness,C19CORE_F must be present,C19CORE_F cannot be blank,"Q9. C19CORE_F (On a scale of 1-5, since [last f3_form_date], how much has the COVID-19 pandemic changed your willingness to allow or encourage your care partner’s participation in clinical research if it requires in-person visits to the research clinic?) cannot be blank",If C19CORE_F = blank,,"DECCLCOG, COGVIS",,,
F3-FCV-c-044,44,Error,F3,FCV,C19COPRE_F,Conformity,C19COPRE_F conforms,C19COPRE_F must be an integer between 1-5 or 8,"Q9. C19COPRE_F (On a scale of 1-5, since [last f3_form_date], how much has the COVID-19 pandemic changed your willingness to allow or encourage your care partner’s participation in clinical research if it requires in-person visits to the research clinic?) must be an integer between 1-5 or 8",IF C19COPRE_F < 1 or (C19COPRE_F > 5 and C19COPRE_F ne 8),,,,,
F3-FCV-m-045,45,Error,F3,FCV,C19COPRE_F,Missingness,C19COPRE_F must be present,C19COPRE_F cannot be blank,"Q10. C19COPRE_F (On a scale of 1-5, since [last f3_form_date], how much has the COVID-19 pandemic changed your own personal willingness to participate in clinical research, irrespective of whether in-person or telephone/remote visits are used?) cannot be blank",If C19COPRE_F = blank,,"DECCLCOG, COGATTN",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
