error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
d1c-fvp-p-1001,1001,Alert,d1c,F,CLINSTAGE,Plausibility,CLINSTAGE aligns with DEMENTED,"If DEMENTED=1 then CLINSTAGE should not equal 0, 1 or 2","If Form D1a Q3. DEMENTED (Demented) = 1 (Yes) then Form D1c. Q10. CLINSTAGE (Clinical AD stage) should not equal 0, 1 or 2 (Asymptomatic or transitional decline)","If DEMENTED=1 and CLINSTAGE in (0, 1,2)","d1a, d1c","CLINSTAGE, DEMENTED",,,
d1c-fvp-p-1002,1002,Alert,d1c,F,CLINSTAGE,Plausibility,CLINSTAGE aligns with CDRGLOB ,"If CDRGLOB=3 then CLINSTAGE should not equal 0, 1 or 2","If Form B4 Q8. CDRGLOB (CDR global score)=3 (Severe impairment) then Form D1c. Q10. CLINSTAGE (Clinical AD stage) should not equal 0, 1 or 2 (Asymptomatic or transitional decline)","If CDRGLOB=3 and CLINSTAGE in (0,1,2)","b4, d1c","CLINSTAGE, CDRGLOB ",,,
d1c-fvp-p-1003,1003,Alert,d1c,F,CLINSTAGE,Plausibility,CLINSTAGE aligns with NORMCOG,"If NORMCOG=1 then CLINSTAGE should not equal 4, 5, or 6","If Form D1a Q2. NORMCOG (Normal cognition) =1 (Yes) then Form D1c. Q10. CLINSTAGE (Clinical AD stage) should not equal 4, 5 or 6 (Dementia with mild, moderate or severe functional impairment)","If NORMCOG=1 and CLINSTAGE in (4,5,6)","d1a, d1c","CLINSTAGE, NORMCOG",,,
d1c-fvp-p-1004,1004,Alert,d1c,F,CLINSTAGE,Plausibility,CLINSTAGE aligns with CDRGLOB ,"If CDRGLOB=3 then CLINSTAGE should not equal 4, 5, or 6","If Form B4 Q8. CDRGLOB (CDR global score)=0 (No impairment) then Form D1c. Q10. CLINSTAGE (Clinical AD stage) should not equal 4, 5 or 6 (Dementia with mild, moderate or severe functional impairment)","If CDRGLOB=3 and CLINSTAGE in (4,5,6)","b4, d1c","CLINSTAGE, CDRGLOB ",,,
d1c-fvp-p-1005,1005,Alert,d1c,F,CLINSTAGE,Plausibility,CLINSTAGE aligns with previous visit,If CLINSTAGE[prev_vis]=6 then CLINSTAGE should not equal 0,"If Q10. CLINSTAGE (Clinical AD stage) = 6 (Dementia with severe functional impairment) at the previous visit, then Q10. CLINSTAGE (Clinical AD stage) should not equal 0 (No impairment)",If CLINSTAGE[prev_vis]=6 and CLINSTAGE=0,"d1c, d1c[prev_vis]","CLINSTAGE, CLINSTAGE[prev_vis]",,,
