error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a3a-ftldivp-p-1001,1001,Error,a3a,IF,FRMDATEA3A,Plausibility,FRMDATEA3A earliest date allowed,FRMDATEA3A must not be from date before form was released,Q0a. FRMDATEA3A (A3A form date) must not be from date before form was released (2012),IF FRMDATEA3A before (01/01/2012),,,,,
a3a-ftldivp-p-1002,1002,Alert,a3a,IF,FTDSIBBY,Plausibility,FTDSIBBY aligns with one of SIB1YOB - SIB20YOB,FTDSIBBY must = a variable in SIB1YOB to SIB20YOB,Q1. FTDSIBBY (sibling's birth year) must = one of the variables from SIB1YOB to SIB20YOB,"IF FTDSIBBY ne one of (SIB1YOB,  SIB2YOB, SIB3YOB, SIB4YOB, SIB4YOB, SIB5YOB, SIB6YOB, SIB7YOB, SIB8YOB, SIB9YOB, SIB10YOB, SIB11YOB, SIB12YOB, SIB13YOB, SIB14YOB, SIB15YOB, SIB16YOB, SIB17YOB, SIB18YOB, SIB19YOB, SIB20YOB)","a3a, a3","FTDSIBBY, SIB1YOB - SIB20YOB",,,
a3a-ftldivp-p-1003,1003,Alert,a3a,IF,FTDCHDBY,Plausibility,FTDCHDBY aligns with one of KID1YOB - KID15YOB,FTDCHDBY must = a  variable in KID1YOB to KID15YOB,Q1. FTDCHDBY (child's birth year) must = one of the vairables from KID1YOB to KID15YOB,"IF FTDCHDBY ne one of (KID1YOB - KID2YOB, KID3YOB, KID4YOB, KID5YOB, KID6YOB, KID7YOB, KID8YOB, KID9YOB, KID10YOB, KID11YOB, KID12YOB, KID13YOB, KID14YOB, KID15YOB)","a3a, a3","FTDCHDBY, KID1YOB - KID15YOB",,,
