error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c2f-ftldivp-m-001,1,Error,c2f,IF,FRMDATEC2F,Missingness,FRMDATEC2F must be present,FRMDATEC2F cannot be blank,Q0a. FRMDATEC2F (C2F form date) cannot be blank ,If FRMDATEC2F = blank,,,Yes,No,
c2f-ftldivp-c-002,2,Error,c2f,IF,FRMDATEC2F,Conformity,FRMDATEC2F conforms,FRMDATEC2F must be a date,Q0a. FRMDATEC2F (C2F form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEC2F is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
c2f-ftldivp-m-003,3,Error,c2f,IF,LANGC2F,Missingness,LANGC2F must be present,LANGC2F cannot be blank,Q0c. LANGC2F (Language of C2F administration) cannot be blank,If LANGC2F = blank,,,Yes,Yes,
c2f-ftldivp-c-004,4,Error,c2f,IF,LANGC2F,Conformity,LANGC2F conforms,LANGC2F must be an integer between 1-2,Q0c. LANGC2F (Language of C2F administration) must be an integer between 1-2,If LANGC2F < 1 or LANGC2F > 2,,,Yes,Yes,
c2f-ftldivp-m-001,1,Error,c2f,IF,FTDCPC2F,Missingness,FTDCPC2F conditionally present,"If FTDCPC2F is not blank, all of (FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST) must be blank","If Q0. FTDCP2F (reason not completed) is not blank, at least one of (Q1. FTDHAIRD, Q2. FTDSPIT, Q3. FTDNOSE, Q4. FTDCOAGE, Q5. FTDCRY, Q6. FTDCUT, Q7. FTDYTRIP, Q8. FTDEATP, Q9. FTDTELLA, Q10. FTDOPIN, Q11. FTDLAUGH, Q12. FTDSHIRT, Q13. FTDKEEPM, Q14. FTDPICKN, Q15. FTDOVER, Q16. FTDEATR, Q17. FTDHAIRL, Q18. FTDSHIRW, Q19. FTDMOVE, Q20. FTDHUGS, Q21. FTDLOUD, Q22. FTDLOST) must be blank","FTDCPC2F is not blank and any of (FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST) is not blank",,"FTDCPC2F, FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST",,,
c2f-ftldivp-m-002,2,Error,c2f,IF,FTDCPC2F,MIssingness,FTDCPC2F conditionally blank,"If FTDCPC2F is blank, at least one of (FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST) must be present","If Q0. FTDCP2F (reason not completed) is blank, at least one of (Q1. FTDHAIRD, Q2. FTDSPIT, Q3. FTDNOSE, Q4. FTDCOAGE, Q5. FTDCRY, Q6. FTDCUT, Q7. FTDYTRIP, Q8. FTDEATP, Q9. FTDTELLA, Q10. FTDOPIN, Q11. FTDLAUGH, Q12. FTDSHIRT, Q13. FTDKEEPM, Q14. FTDPICKN, Q15. FTDOVER, Q16. FTDEATR, Q17. FTDHAIRL, Q18. FTDSHIRW, Q19. FTDMOVE, Q20. FTDHUGS, Q21. FTDLOUD, Q22. FTDLOST) must be 0 or 1","FTDCPC2F is blank and all of (FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST) are blank",,"FTDCPC2F, FTDHAIRD, FTDSPIT, FTDNOSE, FTDCOAGE, FTDCRY, FTDCUT, FTDYTRIP, FTDEATP, FTDTELLA, FTDOPIN, FTDLAUGH, FTDSHIRT, FTDKEEPM, FTDPICKN, FTDOVER, FTDEATR, FTDHAIRL, FTDSHIRW, FTDMOVE, FTDHUGS, FTDLOUD, FTDLOST",,,
c2f-ftldivp-c-003,3,Error,c2f,IF,FTDCPC2F,Conformity,FTDCPC2F conforms,FTDCPC2F must be between 95 and 98 or blank,Q0. FTDCPC2F (reason not completed) must be between 95 and 98 or blank,"FTDCPC2F not equal 95,96,97,98 and FTDCPC2F ne blank",,,,,
c2f-ftldivp-m-005,5,Error,c2f,IF,FTDHAIRD,MIssingness,FTDHAIRD conditionally blank,"If FTDCPC2F is between 95 and 98, then FTDHAIRD must be blank","If Q0. FTDCPC2F (reason not completed) is between 95 and 98, then Q1. FTDHAIRD (stranger hairstyle) must be blank","FTDCPC2F=95,96,97,98 and FTDHAIRD ne blank",,"FTDCPC2F, FTDHAIRD",,,
c2f-ftldivp-c-006,6,Error,c2f,IF,FTDHAIRD,Conformity,FTDHAIRD conforms,"FTDHAIRD must be 0, 1, or blank","Q1. FTDHAIRD (stranger hairstyle) must be 0, 1, or blank","FTDHAIRD ne 0, 1 and FTDHAIRD ne blank",,,,,
c2f-ftldivp-m-008,8,Error,c2f,IF,FTDSPIT,MIssingness,FTDSPIT conditionally blank,"If FTDCPC2F is between 95 and 98, then FTDSPIT must be blank","If Q0. FTDCPC2F (reason not completed) is between 95 and 98, then Q2. FTDSPIT (spit on floor) must be blank","FTDCPC2F=95,96,97,98 and FTDSPIT ne blank",,"FTDCP2F, FTDSPIT",,,
c2f-ftldivp-c-009,9,Error,c2f,IF,FTDSPIT,Conformity,FTDSPIT conforms,"FTDSPIT must be 0,1, or blank","Q2. FTDSPIT (spit on floor) must be 0, 1, or blank","FTDSPIT ne 0,1 and FTDSPIT ne blank",,,,,
c2f-ftldivp-m-011,11,Error,c2f,IF,FTDNOSE,MIssingness,FTDNOSE conditionally blank,"If FTDCPC2F is between 95 and 98, then FTDNOSE must be blank","If Q0. FTDCPC2F (reason not completed) is between 95 and 98, then Q3. FTDNOSE (blow nose) must be blank","FTDNOSE ne blank and FTDCPC2F not equal 95,96,97,98",,"FTDCP2F, FTDNOSE",,,
c2f-ftldivp-c-012,12,Error,c2f,IF,FTDNOSE,Conformity,FTDNOSE conforms,"FTDNOSE must be 0, 1, or blank","Q3. FTDNOSE (blow nose) must be 0, 1, or blank","FTDNOSE ne 0,1 and FTDNOSE ne blank",,,,,
c2f-ftldivp-m-014,14,Error,c2f,IF,FTDCOAGE,MIssingness,FTDCOAGE conditionally blank,"If FTDCPC2F is between 95 and 98, then FTDCOAGE must be blank","If Q0. FTDCPC2F (reason not completed) is between 95 and 98, then Q4. FTDCOAGE (coworker age) must be blank","FTDCPC2F=95,96,97,98 and FTDCOAGE ne blank",,"FTDCP2F, FTDCOAGE",,,
c2f-ftldivp-c-015,15,Error,c2f,IF,FTDCOAGE,Conformity,FTDCOAGE conforms,"FTDCOAGE must be 0, 1, or blank","Q4. FTDCOAGE (coworker age) must be 0, 1, or blank","FTDCOAGE ne 0,1 and FTDCOAGE ne blank",,,,,
c2f-ftldivp-m-017,17,Error,c2f,IF,FTDCRY,MIssingness,FTDCRY conditionally blank,"If FTDCPC2F is between 95 and 98, then FTDCRY must be blank","If Q0. FTDCPC2F (reason not completed) is between 95 and 98, then Q5. FTDCRY (cry during movie) must be blank","FTDCPC2F=95,96,97,98 and FTDCRY ne  blank",,"FTDCP2F, FTDCRY",,,
c2f-ftldivp-c-018,18,Error,c2f,IF,FTDCRY,Conformity,FTDCRY conforms,"FTDCRY must be 0, 1, or blank","Q5. FTDCRY (cry during movie) must be 0, 1, or blank",FTDCRY ne 01 and FTDCRY ne blank,,,,,
c2f-ftldivp-m-020,20,Error,c2f,IF,FTDCUT,MIssingness,FTDCUT conditionally blank,"If FTDCPC2F is between 95 and 98, then FTDCUT must be blank","If Q0. FTDCPC2F (reason not completed) is between 95 and 98, then Q6. FTDCUT (cut in line) must be blank","FTDCPC2F=95,96,97,98 and FTDCUT ne blank",,"FTDCP2F, FTDCUT",,,
c2f-ftldivp-c-021,21,Error,c2f,IF,FTDCUT,Conformity,FTDCUT conforms,"FTDCUT must be 0, 1, or blank","Q6. FTDCUT (cut in line) must be 0, 1, or blank","FTDCUT ne 0,1 and FTDCUT ne blank",,,,,
c2f-ftldivp-m-023,23,Error,c2f,IF,FTDYTRIP,MIssingness,FTDYTRIP conditionally blank,"If FTDCPC2F is between 95 and 98, then FTDYTRIP must be blank","If Q0. FTDCPC2F (reason not completed) is between 95 and 98, then Q7. FTDYTRIP (trip and fall) must be blank","FTDCPC2F=95,96,97,98 and FTDYTRIP ne blank",,"FTDCP2F, FTDYTRIP",,,
c2f-ftldivp-c-024,24,Error,c2f,IF,FTDYTRIP,Conformity,FTDYTRIP conforms,"FTDYTRIP must be 0, 1, or blank","Q7. FTDYTRIP (trip and fall) must be 0, 1, or blank","FTDYTRIP ne 0,1 and FTDYTRIP ne blank",,,,,
c2f-ftldivp-m-026,26,Error,c2f,IF,FTDEATP,Missingness,FTDEATP conditionally blank,"If FTDCPC2F is between 95 and 98, then FTDEATP must be blank","If Q0. FTDCPC2F (reason not completed) is between 95 and 98, then Q8. FTDEATP (eat pasta) must be blank","FTDCPC2F=95,96,97,98 and FTDEATP ne blank",,"FTDCP2F, FTDEATP",,,
c2f-ftldivp-c-027,27,Error,c2f,IF,FTDEATP,Conformity,FTDEATP conforms,"FTDEATP must be 0, 1, or blank","Q8. FTDEATP (eat pasta) must be 0, 1, or blank","FTDEATP ne 0,1 and FTDEATP ne blank",,,,,
