error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c3f-ftldivp-m-063,63,Error,c3f,IF,FTDSTIME,MIssingness,FTDSTIME must be present,FTDSTIME cannot be blank,Q8a. FTDSTIME (stimulus-bound error) cannot be blank,FTDSTIME=blank,,,,,
c3f-ftldivp-c-064,64,Error,c3f,IF,FTDSTIME,Conformity,FTDSTIME conforms,FTDSTIME must be between 0 and 3,Q8a. FTDSTIME (stimulus-bound error) must be between 0 and 3,"FTDSTIME ne 0,1,2,3",,,,,
c3f-ftldivp-m-065,65,Error,c3f,IF,FTDOBJEC,MIssingness,FTDOBJEC must be present,FTDOBJEC cannot be blank,Q8b. FTDOBJEC (picked up object) cannot be blank,FTDOBJEC=blank,,,,,
c3f-ftldivp-c-066,66,Error,c3f,IF,FTDOBJEC,Conformity,FTDOBJEC conforms,FTDOBJEC must be between 0 and 3,Q8b. FTDOBJEC (picked up object) must be between 0 and 3,"FTDOBJEC ne 0,1,2,3",,,,,
c3f-ftldivp-m-067,67,Error,c3f,IF,FTDCIRCU,MIssingness,FTDCIRCU must be present,FTDCIRCU cannot be blank,Q8c. FTDCIRCU (circumstantial speech) cannot be blank,FTDCIRCU=blank,,,,,
c3f-ftldivp-c-068,68,Error,c3f,IF,FTDCIRCU,Conformity,FTDCIRCU conforms,FTDCIRCU must be between 0 and 3,Q8c. FTDCIRCU (circumstantial speech) must be between 0 and 3,"FTDCIRCU ne 0,1,2,3",,,,,
c3f-ftldivp-m-069,69,Error,c3f,IF,FTDPERSE,MIssingness,FTDPERSE must be present,FTDPERSE cannot be blank,Q9. FTDPERSE (perseverative) cannot be blank,FTDPERSE=blank,,,,,
c3f-ftldivp-c-070,70,Error,c3f,IF,FTDPERSE,Conformity,FTDPERSE conforms,FTDPERSE must be between 0 and 3,Q9. FTDPERSE (perseverative) must be between 0 and 3,"FTDPERSE ne 0,1,2,3",,,,,
c3f-ftldivp-m-071,71,Error,c3f,IF,FTDREPEA,MIssingness,FTDREPEA must be present,FTDREPEA cannot be blank,Q9a. FTDREPEA (repeated previous answer) cannot be blank,FTDREPEA=blank,,,,,
c3f-ftldivp-c-072,72,Error,c3f,IF,FTDREPEA,Conformity,FTDREPEA conforms,FTDREPEA must be between 0 and 3,Q9a. FTDREPEA (repeated previous answer) must be between 0 and 3,"FTDREPEA ne 0,1,2,3",,,,,
c3f-ftldivp-m-073,73,Error,c3f,IF,FTDANECD,MIssingness,FTDANECD must be present,FTDANECD cannot be blank,Q9b. FTDANECD (repeated anecdote) cannot be blank,FTDANECD=blank,,,,,
c3f-ftldivp-c-074,74,Error,c3f,IF,FTDANECD,Conformity,FTDANECD conforms,FTDANECD must be between 0 and 3,Q9b. FTDANECD (repeated anecdote) must be between 0 and 3,"FTDANECD ne 0,1,2,3",,,,,
c3f-ftldivp-m-075,75,Error,c3f,IF,FTDDINIT,MIssingness,FTDDINIT must be present,FTDDINIT cannot be blank,Q10. FTDDINIT (decreased initiation) cannot be blank,FTDDINIT=blank,,,,,
c3f-ftldivp-c-076,76,Error,c3f,IF,FTDDINIT,Conformity,FTDDINIT conforms,FTDDINIT must be between 0 and 3,Q10. FTDDINIT (decreased initiation) must be between 0 and 3,"FTDDINIT ne 0,1,2,3",,,,,
c3f-ftldivp-m-077,77,Error,c3f,IF,FTDDELAY,MIssingness,FTDDELAY must be present,FTDDELAY cannot be blank,Q10a. FTDDELAY (delayed response) cannot be blank,FTDDELAY=blank,,,,,
c3f-ftldivp-c-078,78,Error,c3f,IF,FTDDELAY,Conformity,FTDDELAY conforms,FTDDELAY must be between 0 and 3,Q10a. FTDDELAY (delayed response) must be between 0 and 3,"FTDDELAY ne 0,1,2,3",,,,,
c3f-ftldivp-m-079,79,Error,c3f,IF,FTDADDVE,MIssingness,FTDADDVE must be present,FTDADDVE cannot be blank,Q10b. FTDADDVE (required prompting) cannot be blank,FTDADDVE=blank,,,,,
c3f-ftldivp-c-080,80,Error,c3f,IF,FTDADDVE,Conformity,FTDADDVE conforms,FTDADDVE must be between 0 and 3,Q10b. FTDADDVE (required prompting) must be between 0 and 3,"FTDADDVE ne 0,1,2,3",,,,,
